country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CO,Colombia,Bogota,,,CO-DC,,21/12/2020,-26,7,-18,-11,-27,11
CO,Colombia,Bogota,,,CO-DC,,22/12/2020,-20,22,-16,-4,-25,11
CO,Colombia,Bogota,,,CO-DC,,23/12/2020,-20,25,-13,-5,-28,8
CO,Colombia,Bogota,,,CO-DC,,24/12/2020,-23,33,-8,-14,-40,9
CO,Colombia,Bogota,,,CO-DC,,25/12/2020,-73,-53,-55,-63,-78,26
CO,Colombia,Bogota,,,CO-DC,,26/12/2020,-44,-16,-33,-27,-19,11
CO,Colombia,Bogota,,,CO-DC,,27/12/2020,-43,-19,-32,-10,11,6
CO,Colombia,Bogota,,,CO-DC,,28/12/2020,-33,-3,-27,-23,-34,14
CO,Colombia,Bogota,,,CO-DC,,29/12/2020,-30,6,-27,-19,-33,13
CO,Colombia,Bogota,,,CO-DC,,30/12/2020,-33,8,-27,-21,-37,11
CO,Colombia,Bogota,,,CO-DC,,31/12/2020,-43,6,-31,-34,-53,12
CO,Colombia,Bogota,,,CO-DC,,01/01/2021,-81,-64,-60,-69,-81,27
CO,Colombia,Bogota,,,CO-DC,,02/01/2021,-62,-38,-55,-49,-43,15
CO,Colombia,Bogota,,,CO-DC,,03/01/2021,-54,-31,-40,-24,-8,5
CO,Colombia,Bogota,,,CO-DC,,04/01/2021,-43,-12,-39,-32,-42,15
CO,Colombia,Bogota,,,CO-DC,,05/01/2021,-51,-19,-46,-36,-43,21
CO,Colombia,Bogota,,,CO-DC,,06/01/2021,-52,-21,-43,-39,-45,20
CO,Colombia,Bogota,,,CO-DC,,07/01/2021,-48,-9,-38,-38,-45,18
CO,Colombia,Bogota,,,CO-DC,,08/01/2021,-78,-47,-69,-60,-60,35
CO,Colombia,Bogota,,,CO-DC,,09/01/2021,-78,-48,-68,-56,-43,27
CO,Colombia,Bogota,,,CO-DC,,10/01/2021,-80,-55,-70,-54,-30,21
